FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240226;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Continental;Banco;296810;34390;300;8.8;343900;20250108
20240226;NMIV;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;Continental;Banco;211200;96000;240;9.2;314500;20250108
20240226;NMIV;PIURA;PIURA;PIURA;200101;Interbank;Banco;208785.4;74625;192;9.57;296100;20250108
20240226;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;Credito;Banco;126371;16819;180;10.1;168190;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;15990;9000;36;14.5;68302.5;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;29990;4000;84;14.5;77302.5;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;26320;3670;60;14.5;73302.5;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;16834;3166;36;14.5;63312.5;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;19990;5000;120;14.5;68302.5;20250108
20240226;NMIV;LAMBAYEQUE;CHICLAYO;CHICLAYO;140101;Credito;Banco;128450;38363.14;120;9.8;191813.14;20250108
20240226;NMIV;PIURA;PIURA;CASTILLA;200104;Credito;Banco;72374;34683;240;10.99;128457;20250108
20240226;NMIV;LAMBAYEQUE;CHICLAYO;CHICLAYO;140101;Credito;Banco;106400;14000;120;10.3;140000;20250108
20240226;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;81470;12030;240;9.58;120300;20250108
20240226;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;206500;54800;180;9.3;274000;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;31253;3924.5;168;14.5;78490;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;26320;3670;144;14.5;73302.5;20250108
20240228;FCTP;LA LIBERTAD;VIRU;CHAO;131202;Financiera Efectiva S. A;Financiera;21584;3416;60;14.5;68312.5;20250108
20240209;FCTP;ICA;PISCO;SAN CLEMENTE;110507;EMPRESA DE CREDITO VIVELA S.A.;Edpyme;42187.5;4500;240;16.5;90000;20250108
20240226;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;Credito;Banco;206700;66000;240;10.36;280000;20250108
20240226;NMIV;LIMA;LIMA;PUENTE PIEDRA;150125;Credito;Banco;186789.3;36110.7;180;10.99;235600;20250108
