FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240415;NMIV;LIMA;LIMA;LA VICTORIA;150115;BANCO PICHINCHA;Banco;252400.00;75000.00;240.00;9.25;341000.00;20250108
20240415;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;139550.00;18450.00;180.00;8.90;184500.00;20250108
20240415;NMIV;AREQUIPA;AREQUIPA;CERRO COLORADO;040104;Interbank;Banco;191659.55;87000.00;240.00;10.26;290000.00;20250108
20240415;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;271413.55;50000.00;240.00;8.75;335000.00;20250108
20240415;NMIV;CALLAO;CALLAO;BELLAVISTA;070102;Interbank;Banco;241472.55;44599.50;240.00;9.08;297330.00;20250108
20240415;NMIV;SAN MARTIN;SAN MARTIN;MORALES;220910;Credito;Banco;149500.00;30000.00;120.00;9.40;200000.00;20250108
20240415;NMIV;LIMA;LIMA;JESUS MARIA;150113;Credito;Banco;295910.00;34390.00;240.00;8.89;343900.00;20250108
20240415;NMIV;CUSCO;CUSCO;CUSCO;080101;Credito;Banco;311900.00;35500.00;240.00;9.45;355000.00;20250108
20240415;NMIV;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;Credito;Banco;269600.00;30800.00;240.00;10.26;308000.00;20250108
20240415;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;259212.50;30312.50;240.00;10.15;303125.00;20250108
20240415;NMIV;LIMA;LIMA;CHORRILLOS;150108;Credito;Banco;239132.64;44599.87;280.00;9.09;297332.51;20250108
20240415;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Credito;Banco;278715.00;51585.00;240.00;9.70;343900.00;20250108
20240415;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;Credito;Banco;233945.77;30000.00;240.00;9.83;277545.77;20250108
20240415;NMIV;CALLAO;CALLAO;BELLAVISTA;070102;BANBIF;Banco;191900.00;47500.00;240.00;10.20;247000.00;20250108
20240415;NMIV;LIMA;LIMA;ATE;150103;BANBIF;Banco;153500.00;52000.00;240.00;9.20;232000.00;20250108
20240415;NMIV;ICA;ICA;ICA;110101;CMAC Ica;CMAC;115490.00;17000.00;180.00;10.70;158990.00;20250108
20240415;NMIV;LIMA;LIMA;LA VICTORIA;150115;Scotiabank;Banco;295910.00;34390.00;240.00;8.60;343900.00;20250108
20240415;NMIV;PUNO;SAN ROMAN;JULIACA;211101;CMAC Cusco;CMAC;178375.00;16125.00;180.00;13.49;215000.00;20250108
20240415;NMIV;CUSCO;CUSCO;SANTIAGO;080106;BANCO PICHINCHA;Banco;118634.00;35000.00;300.00;10.00;174134.00;20250108
20240415;NMIV;LORETO;MAYNAS;PUNCHANA;160108;BANCO PICHINCHA;Banco;106150.00;22350.00;240.00;11.12;149000.00;20250108
20240415;NMIV;JUNIN;HUANCAYO;EL TAMBO;120114;Continental;Banco;188300.00;23200.00;240.00;9.60;232000.00;20250108
20240415;NMIV;LIMA;LIMA;EL AGUSTINO;150111;Interbank;Banco;234117.70;27270.00;240.00;9.10;272700.00;20250108
20240415;NMIV;CALLAO;CALLAO;CALLAO;070101;Interbank;Banco;182459.10;23000.00;240.00;9.29;230000.00;20250108
20240415;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Credito;Banco;281996.00;32844.00;240.00;8.80;328440.00;20250108
20240415;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;260634.00;36466.00;300.00;8.75;310700.00;20250108
20240415;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;236258.00;27762.00;240.00;9.70;277620.00;20250108
20240415;NMIV;AREQUIPA;AREQUIPA;CERRO COLORADO;040104;BANBIF;Banco;235610.00;27690.00;240.00;9.20;276900.00;20250108
20240415;NMIV;ICA;ICA;ICA;110101;CMAC Ica;CMAC;126932.00;16381.00;240.00;12.00;163813.00;20250108
20240415;NMIV;LIMA;LIMA;ATE;150103;Scotiabank;Banco;255650.00;29250.00;240.00;9.10;292500.00;20250108
20240415;NMIV;AREQUIPA;AREQUIPA;SOCABAYA;040122;CMAC Cusco;CMAC;281700.00;32000.00;120.00;13.49;321300.00;20250108
20240415;NMIV;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;140301;Credito;Banco;86193.00;48297.00;180.00;10.17;160990.00;20250108
20240415;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;Scotiabank;Banco;234590.00;26910.00;300.00;9.10;269100.00;20250108
